locus	ID_Full	sequence_path	source_sha256	source_class	ID	Haplotype
HML-2_11q22.1	HG02015_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02015_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02015_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02015_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02027_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02027_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02027_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02027_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02040_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02040_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02056_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02056_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02071_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02071_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02071_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02071_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02074_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02074_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02074_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02074_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02080_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02080_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02080_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02080_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02083_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02083_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02129_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02129_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02132_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02132_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02135_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02135_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02135_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02135_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02148_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02148_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02155_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02155_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02155_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02155_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02165_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02165_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02165_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02165_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02178_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02178_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02178_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02178_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02273_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02273_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02293_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02293_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02293_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02293_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02300_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02300_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG02391_hap1_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG02391_hap1_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
