source	rate_label	rate_per_generation	Ne	scenario	locus	n_typed	age_bound_Ma	p_all_I	p_all_II	p_sample_mixed	p_all_I_given_TypeI_detected
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	4q32.3	364	16.73	0.1456182246025448	0.8008950350249449	0.05348674037251033	0.7313641054646155
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	5p12	504	24.24	0.20742608561720585	0.7405399059086468	0.0520340084741473	0.7994527495398707
Harpak_2017	estimate	2.5e-07	10000	individual_older_upper_bounds	5q33.3	481	2.0	0.01028360555095417	0.9256676052171083	0.06404878923193746	0.13834621608775402
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	10p12.1	427	5.82	0.04712658427725351	0.8917945350964003	0.061078880626346255	0.4355286890476243
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	11q23.3	523	48.36	0.37728653229752984	0.5816156500988258	0.04109781760364439	0.9017701842495972
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	12q13.2	237	2.0	0.010303657087387327	0.9322316459627213	0.057464696949891314	0.15204230992122658
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	19p12e	489	46.94	0.3683817605401581	0.590329793865576	0.04128844559426592	0.8992154055237349
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	1p31.1b	67	2.0	0.010404010942859117	0.9440276083595679	0.04556838069757296	0.18587754851882543
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	1q22	348	2.0	0.010291048606066854	0.9286643971450979	0.06104455424883526	0.14426244671961383
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	1q23.3	350	28.28	0.238814536198532	0.7138133751133238	0.04737208868814424	0.8344713394383733
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	21q21.1	181	12.54	0.10908380773118391	0.8410090805402594	0.049907111728556774	0.6861008672813286
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	22q11.21	217	6.68	0.0553074731187682	0.8901527673376627	0.054539759543569155	0.5034944602453436
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	3p25.3	381	43.92	0.34901971116652203	0.6099482145960161	0.0410320742374618	0.8948035215504418
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	3q12.3	371	19.96	0.17277340321758008	0.775291955851055	0.051934640931364906	0.7688794759081227
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	3q13.2	347	2.0	0.010291126182807746	0.9286910787499693	0.061017795067223046	0.14431751318637862
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	3q27.2	369	2.0	0.010289516635432722	0.9281212611479449	0.06158922221662233	0.1431510457718407
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	4q32.3	364	33.46	0.2772393344522431	0.6775137827340026	0.04524688281375433	0.8596935918770348
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	5p12	504	48.48	0.3780337885958468	0.5811329281891244	0.04083328321502877	0.902514936209964
Harpak_2017	estimate	2.5e-07	10000	double_older_upper_bounds	5q33.3	481	2.0	0.01028360555095417	0.9256676052171083	0.06404878923193746	0.13834621608775402
Harpak_2017	estimate	2.5e-07	10000	older_loci_unlimited_time	12q13.2	237	2.0	0.010303657087387327	0.9322316459627213	0.057464696949891314	0.15204230992122658
Harpak_2017	estimate	2.5e-07	10000	older_loci_unlimited_time	1p31.1b	67	2.0	0.010404010942859117	0.9440276083595679	0.04556838069757296	0.18587754851882543
