alignment	record	reason
15p13b_carrier_kcon.aln.fa	HG02018_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG02018_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG02059_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG02282_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG02492_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG02554_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
15p13b_carrier_kcon.aln.fa	HG02953_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG02953_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG03009_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG03065_h1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG03248_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG03248_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG03456_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG03456_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG03520_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG03520_h2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG03683_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG03807_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	NA18534_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	NA18939_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	NA18989_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	NA18989_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	NA19129_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	NA19239_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	NA19239_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
